SDA, Density, Average Pollen Distance, SD for Pollen Distance, SE for Pollen Distance, Average Max Pollen Distance, SD for Max Pollen Distance, SE for Max Pollen Distance, Average Weighted Diversity of Fathers, SD for Weighted Diversity of Fathers, SE for Weighted Diversity of Fathers
0, 0.01, 15.1967613058665, 3.02550206084893, 0.300321932029825, 24.3287907858988, 3.75750252572133, 0.463223629809772, 2.0885358968913, 0.983247910518691, 0.0317189065451504
0, 0.03, 11.670696746525, 2.41252310245206, 0.10563116706494, 25.031098623699, 3.55100206156818, 0.228850025554784, 3.60458892771664, 1.24445962639333, 0.028106757028086
0, 0.05, 10.2343967925147, 2.12660004354625, 0.0633888314375055, 24.3009953349705, 3.39661953661661, 0.161709269524434, 4.53762281939216, 1.37258902886414, 0.0264071878783216
0, 0.07, 9.17472757583155, 1.97483232140571, 0.0462027705453271, 22.4283015669614, 3.20273645874766, 0.121520618976007, 5.11382290719079, 1.44790646334867, 0.0248363961968511
0, 0.15, 6.59808865278695, 1.69920224133162, 0.0236408973447722, 15.0694802750435, 2.64476407300814, 0.0572727037742258, 5.04724547229725, 1.4677836829597, 0.0176399733029211
0, 0.1, 8.13567860256097, 1.85244588546877, 0.0340308887497013, 20.115529585475, 2.99878976769318, 0.089181397137149, 5.46007335687257, 1.47931341781231, 0.0217021431654888
45, 0.01, 7.2804602082412, 2.01022389518032, 0.143229451326615, 9.68507325537688, 2.37668491885129, 0.200210424709067, 1.63275641949875, 0.862301027265632, 0.0263548939561629
45, 0.03, 5.86835232008451, 1.69987927971761, 0.0531296647562662, 10.5656350633232, 2.39856439238731, 0.105780028432566, 2.61459539145199, 1.14363883980789, 0.0240479858508096
45, 0.05, 5.54928547609092, 1.54608166883551, 0.0336805276372879, 11.4402241349394, 2.36857579803851, 0.0790475837386649, 3.38747590374584, 1.2629178285586, 0.0224731635800288
45, 0.07, 5.35101661463976, 1.47076730148215, 0.0256846085963574, 11.5169368861497, 2.29475474088028, 0.0625255573367944, 3.93161489228643, 1.33307178837205, 0.021100468359312
45, 0.15, 4.5368709063582, 1.37692175314597, 0.0156101756818519, 9.36372935604564, 2.03822355349737, 0.0342052603515821, 4.23363236085071, 1.36862636551685, 0.0154226524786985
45, 0.1, 5.0471693597363, 1.43059683389062, 0.0203393468826295, 11.0056909618736, 2.20065187755755, 0.0481288159486351, 4.32067666024036, 1.3712678087318, 0.0186873209996317
5, 0.01, 12.226545427115, 2.49909545636685, 0.205683867261445, 18.143510917462, 3.02705789474166, 0.301769952117333, 2.07241100121174, 0.991483141355862, 0.0323746593684972
5, 0.03, 9.68177067386009, 2.07717774213575, 0.0783708130622631, 19.4587603862752, 3.04433068133131, 0.168341301693614, 3.54872694074143, 1.24790598978986, 0.0282859500663908
5, 0.05, 8.8625416770727, 1.93317667901009, 0.0523822565861541, 19.8636612853438, 2.99543589524503, 0.1257653976659, 4.47267280890695, 1.38136879488722, 0.0267460955001613
5, 0.07, 8.15601747908542, 1.80777831805366, 0.0387057991999202, 19.3127111065366, 2.91769084934653, 0.100824073370601, 4.9895096600967, 1.42658356194637, 0.024103500765746
5, 0.15, 6.07423667145165, 1.61328770560035, 0.0213121163763678, 13.5301966288118, 2.46521686822158, 0.0497637605917741, 4.98346006089526, 1.46056088010621, 0.0174679628301535
5, 0.1, 7.37879371463127, 1.7217306895474, 0.0294135683851193, 17.7348312842326, 2.74806794654531, 0.0749328424020112, 5.345075751681, 1.46655068843854, 0.0213408360806252
60, 0.01, 6.00986853377229, 1.91552832851569, 0.135898102864672, 7.7883870260631, 2.20023523014115, 0.179297595109418, 1.45395794663443, 0.799881299559732, 0.0236966701253839
60, 0.03, 5.55323395631038, 1.63382642125021, 0.0494077165003201, 9.77023493299074, 2.29032638565471, 0.0970907163294583, 2.47491053451512, 1.10542723460057, 0.0226174309357994
60, 0.05, 5.23727172470119, 1.49217537229673, 0.0314259110685414, 10.4235006407789, 2.29296050043727, 0.0742063872343007, 3.17733255187099, 1.23211971086345, 0.0214266340346709
60, 0.07, 5.07240453128452, 1.46930834828963, 0.0256354844431461, 10.715675255509, 2.26711797907605, 0.0610328820907607, 3.7157826886068, 1.3069974050724, 0.0202845364360848
60, 0.15, 4.30296756893082, 1.3411595960914, 0.0148198841248505, 8.70164835738515, 1.96903615719477, 0.0319441449221219, 4.06303963066763, 1.35438269270654, 0.0151135565745768
60, 0.1, 4.80244060462384, 1.40524222423136, 0.0196597649285109, 10.3341194444712, 2.16226720971524, 0.0465473181334734, 4.09118408235314, 1.35543253583016, 0.0182907600097678
10, 0.01, 10.2194089220179, 2.30395912488206, 0.177732607566973, 14.9661433894507, 2.80741190101283, 0.263894200522782, 1.95083341597214, 0.97317786746409, 0.0317104218547276
10, 0.03, 8.45712241987093, 1.92857115332447, 0.0676587707338443, 16.994959818137, 2.83121133934521, 0.145813370232198, 3.38311807819898, 1.20935115546289, 0.0266046541578538
10, 0.05, 7.85123195916947, 1.7949297742045, 0.0451981153206655, 17.5125801003346, 2.86072377620696, 0.114809348790092, 4.26345622713667, 1.33806203240067, 0.0251175860064966
10, 0.07, 7.30728211048421, 1.6886237559379, 0.033781066390198, 16.9550378393544, 2.72636403042056, 0.0880593047763191, 4.83497376886173, 1.41283356797673, 0.0236477363878576
10, 0.15, 5.71497840391203, 1.56160954037287, 0.0199692796192941, 12.5681394816932, 2.37642690214074, 0.0462451733059247, 4.86859323010415, 1.45309952784974, 0.0172905263630222
10, 0.1, 6.71032493411764, 1.62433400107638, 0.0261683064893627, 15.755107859221, 2.57889995523779, 0.0659620184352621, 5.15352354257548, 1.44287847763339, 0.0206483074486291
15, 0.01, 9.17952807147807, 2.16686412410882, 0.159552793513103, 13.5218788356813, 2.69387553053398, 0.24660172198015, 1.90496669582951, 0.960829523046152, 0.0313713878474979
15, 0.03, 7.74820631702624, 1.82791622353993, 0.0608713605648872, 15.2580538654166, 2.67709405446769, 0.130565276637237, 3.23949718250436, 1.20057578940899, 0.0262590854585717
15, 0.05, 7.17812941923303, 1.71395692440461, 0.0411959314893919, 15.573655332999, 2.67480998897534, 0.100332213618846, 4.12287291325369, 1.32617280105568, 0.0246635026746811
15, 0.07, 6.8438311411331, 1.64486499725419, 0.0320597058349463, 15.6317172774993, 2.63197952057812, 0.0820850423814539, 4.68340428040375, 1.40907852995317, 0.0235271548329298
15, 0.15, 5.39327531111588, 1.47999277655243, 0.017980519731828, 11.7337738835943, 2.25002749016698, 0.0415583884332674, 4.8310852015329, 1.43492274752891, 0.0169020775647205
15, 0.1, 6.26579732930793, 1.55989896535204, 0.0241428666590542, 14.6144034388797, 2.47997468396441, 0.0610225554554671, 5.07486661725742, 1.43216190591098, 0.0203507365059081
20, 0.01, 8.7661626277322, 2.16194439878742, 0.162334854370252, 12.4201495288661, 2.61806703312603, 0.238058810276924, 1.81825389090043, 0.939261103695386, 0.0306404691355336
20, 0.03, 7.10046590613772, 1.76919411586211, 0.0570895322128903, 13.7773151957585, 2.60272570340803, 0.123555565819389, 3.09637300603928, 1.19504914413515, 0.0260481594840534
20, 0.05, 6.73783940893223, 1.64350060130029, 0.0379121948634517, 14.5207061461209, 2.55995662603354, 0.0919823301807283, 3.99197494594732, 1.31963756307192, 0.0244426636454994
20, 0.07, 6.45430443164698, 1.5931630786198, 0.0300886357308819, 14.5342593154637, 2.54802441151246, 0.0769642779306909, 4.54677911924986, 1.40558116872458, 0.0234203774720406
20, 0.15, 5.16489140475297, 1.44599603835987, 0.0171305071805008, 11.1534137104853, 2.21792622213988, 0.040302334764985, 4.67665138316816, 1.42486588087096, 0.0166335132858977
20, 0.1, 5.96362490146342, 1.51572526422463, 0.022821833315418, 13.6841315919666, 2.39247070081262, 0.05685946982577, 4.90550164859413, 1.42706488923715, 0.0202300516811969
30, 0.01, 7.44419387363095, 2.1025099456814, 0.152523398884499, 10.1713379037381, 2.46370831748945, 0.209430021038643, 1.65615352693225, 0.874586268423537, 0.0263915966823559
30, 0.03, 6.49062285954182, 1.70086996564327, 0.0529062074517353, 12.3729820294415, 2.50381799172726, 0.114648906663619, 2.88071803807244, 1.15640653832052, 0.0244560032171813
30, 0.05, 6.09257274659356, 1.60683776378188, 0.0362932525847452, 12.967552432215, 2.48264620613528, 0.0866386146827499, 3.66797271783866, 1.29140195960072, 0.0234425425793227
30, 0.07, 5.85157789791754, 1.5141081198471, 0.0271938450901624, 12.9321574321302, 2.39593677190097, 0.0680937964527462, 4.28764292368536, 1.37111476354468, 0.0222999791289147
30, 0.15, 4.82691186499462, 1.40635784368581, 0.0162314642666885, 10.2584046581634, 2.14174087734964, 0.0376443560124128, 4.4986130946183, 1.40273935241124, 0.0161480461623132
30, 0.1, 5.5096699246149, 1.47042284260525, 0.0214705955045321, 12.4255381584736, 2.31314273781343, 0.0531330166815258, 4.67361222551188, 1.41162166194627, 0.0197877418979148
